Coluna1,Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
UGck0EtLMJRfE78La5ox2Q==,1/23/2023,Kangu,Analista de Dados JR,"Osasco, São Paulo, Brazil","A diversidade de ideias e de experiências é o que move a Kangu. Trabalhamos todas as nossas vagas para promover uma cultura inclusiva, que se traduz no respeito à diversidade de gênero, etnia, deficiências, orientação sexual (LGBTQ+), crenças e religiões. Vem trabalhar com a gente! Vem para a #RevoluçãoKangu :kangaroo::orange_heart:

Responsabilidades e atribuições

Desenvolvimento de reportes / Dashboards

Análise de relatórios, indicadores e dados

Reporte e manutenção de bases de controles

Análise de perdas / extravios

Participações em reuniões diárias, semanais e mensais

Requisitos e qualificações

Superior cursando ou concluído

Excel Intermediário

Analisar criticamente os fatos

Capacidade de comunicação e síntese

Capacidade analítica

Propor novas soluções

Informações adicionais

NOSSOS BENEFÍCIOS:

Vale Transporte;

Vale Refeição;

Vale Alimentação;

Assistência Médica;

Assistência Odontológica;

Seguro de Vida;

Convênio Farmácia;

Gympass;

PLR;

Bônus por resultado

Avaliação de Desempenho;

Day Off Aniversário.",Not Applicable,Full-time,Information Technology,IT Services and IT Consulting,https://br.linkedin.com/jobs/view/analista-de-dados-jr-at-kangu-3451478417?refId=qP2wKvHGz%2FEHIRXcqWaCnA%3D%3D&trackingId=UGck0EtLMJRfE78La5ox2Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
FX3x7dU6IyMaZ/GMYp5dAg==,2/8/2023,Vigor,Analista de Dados Jr,"São Paulo, São Paulo, Brazil","Inovação e Desafios são o nosso foco!

A nossa Cultura é focada em construir um ambiente inclusivo e colaborativo, onde as pessoas possam ser o melhor delas mesmas!

Aqui você vai encontrar pessoas autênticas, que criam valor através do trabalho e que sonham grande. Praticidade para lidar com os desafios do dia a dia, fazendo sempre o certo e não o mais fácil.

Ser Vigor pede vigor. Pede energia, atitude de dono, inspirando todos a nossa volta. Ser Vigor é contribuir com um ambiente dinâmico, com espaço para criar, aprender na prática e fazer parte de um time intenso, aberto e que faz acontecer!

Prazer, somos a Vigor e adoraríamos ter você conosco!

Você Será Responsável Por

Contribuir na busca de melhorias para modelos preditivos (forecast) e de otimização;
Suporte na interface entre consultorias técnicas e as áreas de negócios, explorando oportunidades e criando soluções de problemas identificados;
Contribuir na visualização de dados para a tomada de decisão da liderança;
Apoiar os projetos transversais, trazendo aplicações de inovação e transformação digital para

impulsionar os resultados e/ou mitigar riscos para a Companhia.

O Que a Vigor Espera

Ensino Superior Cursando ou Completo;
Excel intermediário/avançado;
Diferencial conhecimento em Power BI e Python.

Local de atuação: Barra Funda/SP

Requisitos

Estudos

Ensino Superior

Benefícios

Vale-transporte

Assistência médica

Seguro de Vida

Gympass

Desconto em Produtos

Assistência odontológica

Vale Refeição

Vale-alimentação",Mid-Senior level,Full-time,Information Technology,Food and Beverage Services,https://br.linkedin.com/jobs/view/analista-de-dados-jr-at-vigor-3473363482?refId=qP2wKvHGz%2FEHIRXcqWaCnA%3D%3D&trackingId=FX3x7dU6IyMaZ%2FGMYp5dAg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
532F7iZ0RY9tDZUanCAlqA==,1/17/2023,HDI Seguros,Analista de Dados Junior,Greater São Paulo Area,"A oportunidade é para atuar dentro de uma estrutura e Estatística área responsável por manipular bases de dados estatísticas, efetuando extrações de informações com algoritmos, a fim de elaborar relatórios estatísticos e técnicos que permitam analisar os resultados obtidos, determinar reajustes de preços e atender às solicitações das lideranças e de órgãos fiscalizadores. Prestar orientação e fornecer informações às áreas de negócio, comercial na tomada de decisão, buscando otimização dos processos e resultados da companhia.

No seu dia a dia, você irá:

Acompanhamento Resultados Carteira / Manutenção de Controles;
Criar, gerar, analisar e divulgar relatórios e apresentações que possibilitem o acompanhamento dos resultados dos diversos produtos/carteiras de seguro;
Efetuar a manutenção/atualização dos sistemas de informação que apresentam os resultados e comportamento dos negócios via intranet, analisando os dados da base utilizada, assegurando a veracidade das informações e a disponibilização para consulta a qualquer tempo.

Como requisitos básicos, você deve ter:

Desejável conhecimento/especialização em Ciências de Dados, Data Mining;
Habilidade em Estruturação de Bases de Dados;
Conhecimentos em Softwares Estatísticos, SAS, SQL, Pyton, R",Associate,Full-time,Information Technology,Insurance,https://br.linkedin.com/jobs/view/analista-de-dados-junior-at-hdi-seguros-3440330258?refId=qP2wKvHGz%2FEHIRXcqWaCnA%3D%3D&trackingId=532F7iZ0RY9tDZUanCAlqA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
qe/S9hPUjAHI2SBvYgfMaQ==,2/7/2023,Shopee,Analista de Dados Junior,"São Paulo, São Paulo, Brazil","Job Description

Apoiar em projetos de dados desde o mapeamento de requisitos, até a modelagem do banco e disponibilização dos dados;
Contribuir para o design, documentação, manutenção, monitoramento e otimização de nossos códigos e ferramentas de dados;
Identificar oportunidades de melhorias na nossa plataforma de ETL/ELT;
Traduzir as necessidades do negócio em soluções alinhadas com as ferramentas e estratégias da plataforma de dados;
Identificar falhas nos processos de pagamentos.

Requirements

Conhecimento em processos de pagamentos (método de pagamento, reconciliação, reembolso, chargeback, ajuste de carteira)
Linguagem SQL avançado – capaz de desenvolver e organizar códigos para solução de problemas com alta complexidade.
Conhecimento em ferramentas de visualização de dados como Looker, Power BI, Tableau, etc.",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",https://br.linkedin.com/jobs/view/analista-de-dados-junior-at-shopee-3474038204?refId=qP2wKvHGz%2FEHIRXcqWaCnA%3D%3D&trackingId=qe%2FS9hPUjAHI2SBvYgfMaQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
iiUPoLf/Uauo8LqFV8/Fdg==,1/26/2023,Allcare Gestora de Saúde,Analista de dados Jr.,"São Paulo, São Paulo, Brazil","Tratamento e padronização dos dados pertinentes aos processos da área;

Atualização de relatórios em Excel e Power-BI;

Auxílio na coleta, tratamento e análise dos dados gerenciais da área;

Sugestão e desenvolvimento de indicadores dos processos realizados.

Requisitos

Superior Completo

Excel Avançado

Conhecimento Macro/VBA

Imprescindível ter atuado com a ferramenta Power BI

Necessário residir em SP- capital ou grande SP, estamos atuando no modelo híbrido- 3 dias presenciais e dois home office.",Not Applicable,Full-time,Other,Facilities Services,https://br.linkedin.com/jobs/view/analista-de-dados-jr-at-allcare-gestora-de-sa%C3%BAde-3450884661?refId=qP2wKvHGz%2FEHIRXcqWaCnA%3D%3D&trackingId=iiUPoLf%2FUauo8LqFV8%2FFdg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
1nELgCtMSNC2IcgdhAyUtQ==,2/6/2023,Fraport Brasil - Porto Alegre,Analista de Dados JR,"Porto Alegre, Rio Grande do Sul, Brazil","Missão:
Responsável por apoiar o Centro de Operações, de ambos aeroportos, nas suas demandas, além de realizar análises pré e pós operacionais, e executar projetos de melhorias que ajudem a otimizar a eficiência operacional.

Atividades:
Participar da construção e revisão de indicadores, analisando os resultados e apoiando o gestor do Centro de Operações;
Realizar análises continuas para mapeamento das oportunidades de melhoria dos processos operacionais;
Realizar a coordenação de SLOTS em conformidade com as regulamentações vigentes;
Desenvolver e implementar planos de ação operacionais, buscando a melhor relação de custo x benefício, nas operações através da otimização de processos e aumento da qualidade do serviço prestado pela área;
Realizar planejamentos operacionais de curto e médio prazos;
Realizar a análise de dados pós operacionais;
Elaborar relatórios estatísticos para atendimento as regulamentações vigentes e as demandas internas da Fraport;
Garantir informações de modo rápido e eficiente para todos os envolvidos nas operações;
Participar ativamente em desenvolvimento e analises de projetos da área de operações;
Auxiliar a liderança no gerenciamento da rotina da área;

Conhecimento Específico:
Ensino Superior Completo
Conhecimentos avançados em Excel (Conhecimento em VBA é diferencial);
Desejável conhecimento em Power BI ou outra ferramenta de BI;
Inglês intermediário (avançado é um diferencial);
Conhecimento em aviação civil é um diferencial;
Bons conhecimentos em banco de dados, SQL e/ou afins;
Conhecimentos em programação é um diferencial.",Not Applicable,Full-time,"Administrative, Analyst, and Information Technology",Aviation and Aerospace Component Manufacturing,https://br.linkedin.com/jobs/view/analista-de-dados-jr-at-fraport-brasil-porto-alegre-3468304370?refId=qP2wKvHGz%2FEHIRXcqWaCnA%3D%3D&trackingId=1nELgCtMSNC2IcgdhAyUtQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
rRAmHNiTocs7saxMHXhyKQ==,1/20/2023,Atento Brasil,Analista de Dados Jr - São Paulo - Híbrido,Greater São Paulo Area,"DESCRIÇÃO DA VAGA
Você é um expert na área de dados? Domina SQL server e Power BI?

Se as suas respostas foram sim, estamos procurando por você!

#VEMPRAATENTO

RESPONSABILIDADES E ATRIBUIÇÕES
Desenvolver e enviar relatórios em Excel e POWER BI;
Realizar levantamento de requisitos / mapeamento de processos;
Participar de reuniões gerenciais;
Realizar integração e pesquisa de informações em banco de dados SQL Server;
Rotina em ETL (SSIS);
Automatizar rotinas;
Negociar demandas;
Manter relacionamento com clientes internos.

REQUISITOS E QUALIFICAÇÕES
Ensino Superior cursando;
Conhecimento em SQL Server, ETL e Power BI
Experiência com BI.

INFORMAÇÕES ADICIONAIS
Jornada de Trabalho
200h mês | Escala 5x2 com folgas aos sábados e domingos

Benefícios
Ajuda de custo Home Office;
Vale refeição e/ou vale alimentação;
Seguro de Vida;
Auxílio funeral;
Auxílio creche / Auxílio criança com deficiência;
Desconto em Produtos Parceiros;
Assistência Odontológica;
Assistência Médica;
Descontos em Academias / Práticas Esportivas;
Parcerias educacionais com descontos em cursos;
Plano de carreira.

Local de Trabalho: São Paulo - Híbrido.",Associate,Full-time,Human Resources,Outsourcing and Offshoring Consulting,https://br.linkedin.com/jobs/view/analista-de-dados-jr-s%C3%A3o-paulo-h%C3%ADbrido-at-atento-brasil-3443773087?refId=qP2wKvHGz%2FEHIRXcqWaCnA%3D%3D&trackingId=rRAmHNiTocs7saxMHXhyKQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
NYtd2Qyis6+DUURoVLRz/Q==,1/28/2023,Hilab,Analista de Dados - Junior - Manaus,"Manaus, Amazonas, Brazil","Somos muito mais que uma empresa de tecnologia. Somos uma empresa de soluções de tecnologia na área médica.

Reinventar e principalmente humanizar a tecnologia médica é muito mais que um objetivo, é a nossa missão!

Para esta posição, estamos trabalhando de forma presencial em Manaus - AM.

Todas as nossas vagas são abertas para PCDs (Pessoas com Deficiência).

#SejaHier

Responsabilidades e atribuições

O que esperamos que você tenha na bagagem:
Análises e criação de dashboards (com sql);
Extração de dados de banco de dados, planilhas, etc... (python);
Desenvolvimento de features em endpoints dos serviços internos de data science (python);
Geração de relatórios automáticos (python).

Requisitos e qualificações
Conhecimento básico em r ou python obrigatório;
Conhecimento básico em estatística obrigatório;
Conhecimento básico sql obrigatório;
Conhecimento básico nosql diferencial;
Conhecimento em ferramentas de análise ex: metabase, powebi, etc.. (análise/ciência) diferencial;
Estar cursando estatística/engenharias ou áreas correlatas - diferencial;
Conhecimento básico de ferramentas de erp (hubspoot/odoo/nfeio) - diferencial.

Informações adicionais

Benefícios Hi:
Vale alimentação de R$22,00 por dia sem desconto em folha pela Flash Benefícios
Vale transporte ou combustível (pela Flash Benefícios) de R$11,00 por dia sem desconto em folha;
Plano odontológico com descontinho simbólico;
Plano de saúde Unimed sem mensalidade e coparticipação para Hiers;
Day off de aniversário;
Convênio com Instituições de Ensino, desconto para cursos Tecnólogos, Graduação, Pós-Graduação e Especializações.
Mimos para os Hi Babys;
Horário semi-flexível;
Programa de Indicação;
Licença Maternidade e Paternidade Estendida;
Treinamentos Internos para você se desenvolver;
Ferramenta para apoiar a liderança no seu desenvolvimento técnico e comportamental.",Not Applicable,Full-time,Information Technology,Wellness and Fitness Services,https://br.linkedin.com/jobs/view/analista-de-dados-junior-manaus-at-hilab-3457466183?refId=qP2wKvHGz%2FEHIRXcqWaCnA%3D%3D&trackingId=NYtd2Qyis6%2BDUURoVLRz%2FQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
/t8cjWEfmSFKcJc/CKLYrQ==,1/10/2023,COFCO International,Analista de Dados JR,"São José do Rio Preto, São Paulo, Brazil","Descrição de Cargo:
Identificação, coleta, tratamento, consolidação e análise de dados das operações agrícolas para gerar conhecimento;
Realização de estudos, relatórios e dashboards;
Tratativa com departamentos da empresa para definição de premissas no tratamento dos dados;
Participar do planejamento e detalhamento das atividades;
Pesquisar, avaliar e sugerir novas tecnologias;
Atuar como multiplicador de conhecimento técnico;
Identificar e melhorar estruturas de materiais pré-existentes visando a melhoria de performance, disponibilidade e segurança.
Requisitos:
Formação:
Superior Completo ou Cursando (Engenharias, Administração, Ciências Contábeis, Sistemas de Informação e afins);
Conhecimentos:
- Excel Avançado;
- Python;
- SQL;
- Power BI (Intermediário).",Associate,Full-time,Distribution,Food and Beverage Manufacturing,https://br.linkedin.com/jobs/view/analista-de-dados-jr-at-cofco-international-3428710681?refId=qP2wKvHGz%2FEHIRXcqWaCnA%3D%3D&trackingId=%2Ft8cjWEfmSFKcJc%2FCKLYrQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
qEBy/fgFRpm2jOQQR/UdVg==,2/5/2023,Unilever,Analista de Dados - ICE,"São Paulo, São Paulo, Brazil","A Unilever está contratando um Analista de Dados em São Paulo,SP.

A Unilever é o lugar onde você pode dar vida ao seu propósito com o trabalho que faz – criando um negócio melhor e um mundo melhor. Estamos à procura de talentos que gostariam de se juntar a nós.

Nosso time de ICECREAM está embarcando em uma incrível jornada. Se você tiver vivência como Analista de Dados, com experiência em BI e gosta de atuar como ponte entre a área de Dados e o negócio, adoraríamos te conhecer!

O que você pode esperar da função?
Você será responsável pelo acompanhamento e performance dos programas de remuneração, incentivos e despesas, avaliando mudanças, medindo o impacto com o time de vendas e KPIs internos. Sugerir melhorias que resolvam uma hipótese/problema levantado pelo time de negócios. Coleta, revisa e valida informações enviadas pelas demais áreas.
Isso se parece com você?
Curso Superior Completo em Engenharias, formação em exatas ou áreas correlatas;
Conhecimento avançado em Excel, intermediário em PowerPoint, PowerBI e World;
Desejável boa vontade em aprender e ensinar;
Comunicação, Pensamento analítico e resiliência;
Por que a Unilever?

A Unilever é o lugar onde você pode dar vida ao seu propósito com o trabalho que faz – criando um negócio melhor e um mundo melhor. Você trabalhará em marcas que são amadas e que melhoram a vida de nossos consumidores e das comunidades ao nosso redor. Você liderará inovações, grandes e pequenas, que farão nosso negócio crescer e vencer. Você aprenderá com líderes brilhantes e colegas que fornecem orientação e inspiração para que você possa se tornar uma pessoa melhor.

Unilever is an organisation committed to equity, inclusion and diversity to drive our business results and create a better future, every day, for our diverse employees, global consumers, partners, and communities. We believe a diverse workforce allows us to match our growth ambitions and drive inclusion across the business. At Unilever we are interested in every individual bringing their ‘Whole Self’ to work and this includes you! Thus if you require any support or access requirements, we encourage you to advise us at the time of your application so that we can support you through your recruitment journey.",Entry level,Full-time,Sales and Business Development,"Food and Beverage Services, Food and Beverage Manufacturing, and Manufacturing",https://br.linkedin.com/jobs/view/analista-de-dados-ice-at-unilever-3436711040?refId=qP2wKvHGz%2FEHIRXcqWaCnA%3D%3D&trackingId=qEBy%2FfgFRpm2jOQQR%2FUdVg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
